"name","n","age","female_percent","EUR_percent"
"EF",4679,59.83,46.85,65.01
"IVSd",4679,59.83,46.85,65.01
"LVPWd",4679,59.83,46.85,65.01
"LVIDs",4679,59.83,46.85,65.01
"LVIDd",4679,59.83,46.85,65.01
"LVOTDiam",4679,59.83,46.85,65.01
"E_EAvg",4679,59.83,46.85,65.01
"RVSP",4679,59.83,46.85,65.01
"TAPSE",4679,59.83,46.85,65.01
"RVSVel",4679,59.83,46.85,65.01
"LAIDs2D",4679,59.83,46.85,65.01
"LAVol",4679,59.83,46.85,65.01
"AVPkVel",4679,59.83,46.85,65.01
"GLS",4679,59.83,46.85,65.01
"LVEDV",4679,59.83,46.85,65.01
"LVESV",4679,59.83,46.85,65.01
"LVSV",4679,59.83,46.85,65.01
"TVPkGrad",4679,59.83,46.85,65.01
"AORoot",4679,59.83,46.85,65.01
"RVIDd",4679,59.83,46.85,65.01
"RADimensionM_L",4679,59.83,46.85,65.01
